BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
York Region DSB,Walter Scott PS,3,en,1,94%,94%,94%,50%,47%,47%,0%,0%,0%
Toronto DSB,Taylor Creek Public School,3,en,1,86%,86%,86%,31%,28%,28%,0%,0%,0%
Simcoe County DSB,Warnica PS,3,en,1,N/D,N/D,100%,N/D,N/D,66%,N/D,N/D,0%
Upper Grand DSB,Ken Danby PS,3,en,1,94%,94%,94%,88%,73%,76%,6%,6%,6%
Thames Valley District School Board,Stoney Creek P.S.,3,en,1,87%,88%,88%,85%,82%,67%,10%,10%,9%
Toronto DSB,Warren Park Jr PS,3,en,1,92%,92%,92%,75%,71%,67%,8%,8%,8%
Kawartha Pine Ridge DSB,Warsaw PS,3,en,1,94%,94%,94%,65%,47%,59%,0%,0%,0%
Thames Valley District School Board,West Oaks French Immersion PS,3,en,1,95%,95%,95%,92%,82%,90%,2%,2%,2%
Peel District School Board,James Grieve PS,3,en,1,96%,96%,96%,68%,66%,56%,4%,4%,4%
Lambton Kent District School Board,East Lambton ES,3,en,1,100%,100%,100%,77%,54%,54%,0%,0%,0%
Kawartha Pine Ridge DSB,Waverley PS,3,en,1,93%,93%,93%,61%,51%,41%,2%,2%,2%
Waterloo Region DSB,Lexington PS,3,en,1,100%,100%,100%,77%,67%,77%,0%,0%,0%
Peel District School Board,Fairlawn Public School,3,en,1,96%,97%,97%,72%,53%,47%,3%,3%,3%
Waterloo Region DSB,Breslau PS,3,en,1,100%,100%,100%,79%,61%,80%,0%,0%,0%
Waterloo Region DSB,MacKenzie King PS,3,en,1,94%,94%,94%,78%,63%,50%,0%,0%,0%
Thames Valley District School Board,Eva Circe-Cote French Immersion Public School,3,en,1,100%,100%,100%,85%,73%,85%,0%,0%,0%
Toronto DSB,Kâpapâmahchakwêw - Wandering Spirit School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
DSB of Niagara,A K Wigg PS,3,en,1,100%,100%,100%,91%,100%,97%,0%,0%,0%
Trillium Lakelands DSB,Watt PS,3,en,1,100%,100%,100%,71%,79%,57%,0%,0%,0%
Upper Grand DSB,Waverley Drive PS,3,en,1,78%,78%,81%,62%,52%,53%,19%,19%,16%
Durham DSB,Waverly PS,3,en,1,97%,97%,97%,71%,62%,47%,3%,3%,3%
Greater Essex County DSB,Dr. David Suzuki Public School,3,en,1,93%,93%,93%,76%,71%,67%,7%,7%,7%
Toronto DSB,Wedgewood Jr S,3,en,1,100%,100%,100%,80%,80%,76%,0%,0%,0%
Limestone DSB,Welborne Avenue PS,3,en,1,98%,98%,98%,79%,67%,64%,2%,2%,2%
Waterloo Region DSB,Wellesley PS,3,en,1,98%,98%,97%,71%,78%,63%,2%,2%,2%
Toronto DSB,Wellesworth Jr S,3,en,1,69%,69%,69%,64%,55%,55%,25%,25%,25%
Peel District School Board,Claireville Public School,3,en,1,90%,90%,90%,72%,58%,65%,9%,9%,9%
Simcoe County DSB,West Bayfield E S,3,en,1,97%,97%,97%,61%,52%,54%,3%,3%,3%
Halton DSB,Brant Hills PS,3,en,1,96%,96%,96%,95%,73%,91%,4%,4%,4%
Ottawa-Carleton DSB,Stonecrest E S,3,en,1,99%,99%,99%,77%,57%,51%,0%,0%,0%
Simcoe County DSB,Hillsdale E S,3,en,1,90%,90%,90%,89%,78%,89%,10%,10%,10%
Peel District School Board,Ingleborough PS,3,en,1,99%,99%,99%,79%,67%,57%,0%,0%,0%
York Region DSB,Westminster PS,3,en,1,90%,90%,90%,63%,47%,47%,5%,5%,5%
Durham DSB,Westney Heights PS,3,en,1,85%,85%,85%,65%,56%,53%,15%,15%,15%
Toronto DSB,West Glen Jr S,3,en,1,96%,96%,96%,60%,64%,48%,0%,0%,0%
Simcoe County DSB,Hon Earl Rowe PS,3,en,1,100%,100%,100%,75%,60%,50%,0%,0%,0%
Simcoe County DSB,Sir William Osler PS,3,en,1,100%,100%,100%,80%,73%,67%,0%,0%,0%
Toronto DSB,West Hill PS,3,en,1,86%,86%,86%,50%,50%,28%,14%,14%,14%
Toronto DSB,West Humber Jr & Md S,3,en,1,93%,93%,93%,80%,68%,44%,4%,4%,4%
Grand Erie DSB,West Lynn PS,3,en,1,98%,98%,98%,58%,47%,48%,2%,2%,2%
York Region DSB,Maple Creek PS,3,en,1,88%,90%,88%,56%,54%,53%,7%,7%,7%
Halton DSB,West Oak PS,3,en,1,96%,96%,96%,77%,77%,72%,2%,2%,2%
Toronto DSB,West Preparatory PS,3,en,1,98%,98%,98%,78%,73%,78%,0%,0%,0%
Toronto DSB,West Rouge Jr. PS,3,en,1,100%,100%,100%,78%,66%,72%,0%,0%,0%
Peel District School Board,Westacres PS,3,en,1,97%,97%,97%,81%,70%,38%,3%,3%,3%
Durham DSB,Westcreek PS,3,en,1,90%,82%,90%,70%,69%,63%,8%,8%,8%
